microsoftazuremanagementcontainerinstance,[tfm=netstandard2.0]Microsoft.Azure.Management.ContainerInstance,7.0.0
microsoftazuremanagementcontainerinstancefluent,[tfm=netstandard2.0]Microsoft.Azure.Management.ContainerInstance.Fluent,1.38.1
microsoftazuremanagementcontainerregistry,[tfm=netstandard2.0]Microsoft.Azure.Management.ContainerRegistry,6.0.0
microsoftazuremanagementcontainerregistryfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.ContainerRegistry.Fluent,1.38.1
microsoftazuremanagementcontainerservicefluent,[tfm=netstandard2.0]Microsoft.Azure.Management.ContainerService.Fluent,1.38.1
microsoftazuremanagementcosmosdb,[tfm=netstandard2.0]Microsoft.Azure.Management.CosmosDB,3.3.0
microsoftazuremanagementcosmosdbfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.CosmosDB.Fluent,1.38.1
microsoftazuremanagementdatabox,[tfm=netstandard2.0]Microsoft.Azure.Management.DataBox,2.0.1
microsoftazuremanagementdataboxedge,[tfm=netstandard2.0]Microsoft.Azure.Management.DataBoxEdge,1.1.0
microsoftazuremanagementdatafactories,[tfm=netstandard2.0]Microsoft.Azure.Management.DataFactories,4.13.3
microsoftazuremanagementdatalakeanalytics,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.DataLake.Analytics,3.5.3-preview
microsoftazuremanagementdatalakestore,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.DataLake.Store,2.4.2-preview
microsoftazuremanagementdatashare,[tfm=netstandard2.0]Microsoft.Azure.Management.DataShare,1.3.0
microsoftazuremanagementdeploymentmanager,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.DeploymentManager,0.9.1-preview
microsoftazuremanagementdeviceprovisioningservices,[tfm=netstandard2.0]Microsoft.Azure.Management.DeviceProvisioningServices,4.0.0
microsoftazuremanagementdigitaltwins,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.DigitalTwins,1.2.0
microsoftazuremanagementdns,[tfm=netstandard2.0]Microsoft.Azure.Management.Dns,3.0.1
microsoftazuremanagementdnsfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Dns.Fluent,1.38.1
microsoftazuremanagementedgegateway,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.EdgeGateway,0.8.1-preview
microsoftazuremanagementeventgrid,[tfm=netstandard2.0]Microsoft.Azure.Management.EventGrid,9.0.0
microsoftazuremanagementeventhub,[tfm=netstandard2.0]Microsoft.Azure.Management.EventHub,5.0.0
microsoftazuremanagementeventhubfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.EventHub.Fluent,1.38.1
microsoftazuremanagementfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Fluent,1.38.1
microsoftazuremanagementgraphrbacfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Graph.RBAC.Fluent,1.38.1
microsoftazuremanagementhdinsight,[tfm=netstandard2.0]Microsoft.Azure.Management.HDInsight,8.0.0
microsoftazuremanagementhdinsightjob,[tfm=netstandard2.0]Microsoft.Azure.Management.HDInsight.Job,2.0.7
microsoftazuremanagementhealthcareapis,[tfm=netstandard2.0]Microsoft.Azure.Management.HealthcareApis,4.0.0
microsoftazuremanagementhybridcompute,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.HybridCompute,0.1.0-preview.2
microsoftazuremanagementiotcentral,[tfm=netstandard2.0]Microsoft.Azure.Management.IotCentral,4.0.0
microsoftazuremanagementiothub,[tfm=netstandard2.0]Microsoft.Azure.Management.IotHub,4.2.0
microsoftazuremanagementkeyvault,[tfm=netstandard2.0]Microsoft.Azure.Management.KeyVault,3.1.0
microsoftazuremanagementkeyvaultfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.KeyVault.Fluent,1.38.1
microsoftazuremanagementkubernetesconfiguration,[tfm=netstandard2.0]Microsoft.Azure.Management.KubernetesConfiguration,2.1.0
microsoftazuremanagementkusto,[tfm=netstandard2.0]Microsoft.Azure.Management.Kusto,10.0.0
microsoftazuremanagementlabservices,[tfm=netstandard2.0]Microsoft.Azure.Management.LabServices,4.0.0
microsoftazuremanagementlogic,[tfm=netstandard2.0]Microsoft.Azure.Management.Logic,4.1.0
microsoftazuremanagementlogicfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Logic.Fluent,1.9.1-beta
microsoftazuremanagementmaintenance,[tfm=netstandard2.0]Microsoft.Azure.Management.Maintenance,1.3.0
microsoftazuremanagementmanagedserviceidentity,[tfm=netstandard2.0]Microsoft.Azure.Management.ManagedServiceIdentity,1.0.0
microsoftazuremanagementmanagedservices,[tfm=netstandard2.0]Microsoft.Azure.Management.ManagedServices,1.1.0
microsoftazuremanagementmanagementgroups,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.ManagementGroups,2.0.0-beta
microsoftazuremanagementmarketplace,[tfm=netstandard2.0]Microsoft.Azure.Management.Marketplace,3.0.0
microsoftazuremanagementmedia,[tfm=netstandard2.0]Microsoft.Azure.Management.Media,6.0.0
microsoftazuremanagementmigrateresourcemover,[tfm=netstandard2.0]Microsoft.Azure.Management.Migrate.ResourceMover,3.0.0
microsoftazuremanagementmixedreality,[tfm=netstandard2.0]Microsoft.Azure.Management.MixedReality,3.0.0
microsoftazuremanagementmonitor,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.Monitor,0.28.0-preview
microsoftazuremanagementmysql,[tfm=netstandard2.0]Microsoft.Azure.Management.MySQL,1.0.0
microsoftazuremanagementnetworkfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Network.Fluent,1.38.1
microsoftazuremanagementnotificationhubs,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.NotificationHubs,2.3.4-preview
microsoftazuremanagementnotificationhubsfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.NotificationHubs.Fluent,1.9.1-beta
microsoftazuremanagementoperationalinsights,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.OperationalInsights,0.25.0-preview
microsoftazuremanagementpostgresql,[tfm=netstandard2.0]Microsoft.Azure.Management.PostgreSQL,2.0.0
microsoftazuremanagementpowerbiembedded,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.PowerBIEmbedded,1.1.1-preview
microsoftazuremanagementprivatedns,[tfm=netstandard2.0]Microsoft.Azure.Management.PrivateDns,1.0.0
microsoftazuremanagementpurview,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.Purview,1.0.1
microsoftazuremanagementquota,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.Quota,1.0.0-preview
microsoftazuremanagementrecoveryservices,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.RecoveryServices,4.3.3-preview
microsoftazuremanagementrecoveryservicesbackup,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.RecoveryServices.Backup,5.0.0-preview
microsoftazuremanagementredis,[tfm=netstandard2.0]Microsoft.Azure.Management.Redis,8.0.0
microsoftazuremanagementredisfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Redis.Fluent,1.38.1
microsoftazuremanagementredisenterprise,[tfm=netstandard2.0]Microsoft.Azure.Management.RedisEnterprise,3.0.0
microsoftazuremanagementrelay,[tfm=netstandard2.0]Microsoft.Azure.Management.Relay,2.0.2
microsoftazuremanagementrelayfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.Relay.Fluent,1.9.1-beta
microsoftazuremanagementreservations,[tfm=netstandard2.0]Microsoft.Azure.Management.Reservations,1.15.0-preview
microsoftazuremanagementresourcegraph,[tfm=netstandard2.0]Microsoft.Azure.Management.ResourceGraph,2.1.0
microsoftazuremanagementresourcemanager,[isPrerelease=true;tfm=netstandard2.0]Microsoft.Azure.Management.ResourceManager,3.17.4-preview
microsoftazuremanagementresourcemanagerfluent,[tfm=netstandard2.0]Microsoft.Azure.Management.ResourceManager.Fluent,1.38.1
