azurecommunicationcommon,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.Common,1.4.0-beta.1
azurecommunicationemail,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.Email,1.1.0-beta.2
azurecommunicationjobrouter,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.JobRouter,1.1.0-beta.1
azurecommunicationmessages,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.Messages,1.3.0-beta.1
azurecommunicationphonenumbers,[isPrerelease=true;tfm=netstandard2.0]Azure.Communication.PhoneNumbers,1.3.0-beta.5
azurecommunicationprogrammableconnectivity,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.ProgrammableConnectivity,1.0.0-beta.1
azurecommunicationrooms,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.Rooms,1.1.0-beta.1
azurecommunicationsms,[tfm=netstandard2.0;isPrerelease=true]Azure.Communication.Sms,1.1.0-beta.2
azurecomputebatch,[tfm=netstandard2.0;isPrerelease=true]Azure.Compute.Batch,1.0.0-beta.2
azurecontainerscontainerregistry,[isPrerelease=true;tfm=netstandard2.0]Azure.Containers.ContainerRegistry,1.2.0-beta.1
azurecoreexperimental,[isPrerelease=true;tfm=netstandard2.0]Azure.Core.Experimental,0.1.0-preview.37
azurecoreexpressionsdatafactory,[isPrerelease=true;tfm=netstandard2.0]Azure.Core.Expressions.DataFactory,1.0.0-beta.6
azurecosmos,[isPrerelease=true;tfm=netstandard2.0]Azure.Cosmos,4.0.0-preview3
azuredataappconfiguration,[isPrerelease=true;tfm=netstandard2.0]Azure.Data.AppConfiguration,1.4.0-beta.1
azuredataschemaregistry,[isPrerelease=true;tfm=netstandard2.0]Azure.Data.SchemaRegistry,1.4.0-beta.2
azuredeveloperdevcenter,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Developer.DevCenter,1.1.0-alpha.20250514.1
azuredeveloperloadtesting,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Developer.LoadTesting,1.2.0-alpha.20250513.1
azuredevelopermicrosoftplaywrighttestingnunit,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Developer.MicrosoftPlaywrightTesting.NUnit,1.0.0-alpha.20250513.1
azuredevelopermicrosoftplaywrighttestingtestlogger,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Developer.MicrosoftPlaywrightTesting.TestLogger,1.0.0-alpha.20250513.1
azureextensionsaspnetcoreconfigurationsecrets,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.Extensions.AspNetCore.Configuration.Secrets,1.5.0-alpha.20250514.1
