azureresourcemanagerchaos,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Chaos,1.1.0-alpha.20250514.1
azureresourcemanagercognitiveservices,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.CognitiveServices,1.5.0-alpha.20250514.1
azureresourcemanagercommunication,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Communication,1.3.0-alpha.20250513.1
azureresourcemanagercompute,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Compute,1.10.0-alpha.20250514.1
azureresourcemanagercomputefleet,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.ComputeFleet,1.0.0-beta.1
azureresourcemanagercomputeschedule,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ComputeSchedule,1.1.0-alpha.20250513.1
azureresourcemanagerconfidentialledger,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ConfidentialLedger,1.1.0-alpha.20250513.1
azureresourcemanagerconfluent,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Confluent,1.1.0-beta.1
azureresourcemanagerconnectedvmwarevsphere,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ConnectedVMwarevSphere,1.2.0-alpha.20250514.1
azureresourcemanagerconsumption,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Consumption,1.1.0-beta.3
azureresourcemanagercontainerinstance,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ContainerInstance,1.3.0-beta.1
azureresourcemanagercontainerorchestratorruntime,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.ContainerOrchestratorRuntime,1.0.0-beta.1
azureresourcemanagercontainerregistry,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ContainerRegistry,1.3.0-beta.3
azureresourcemanagercontainerservice,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ContainerService,1.3.0-alpha.20250514.1
azureresourcemanagercontainerservicefleet,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ContainerServiceFleet,1.2.0-alpha.20250513.1
azureresourcemanagercosmosdb,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.CosmosDB,1.4.0-beta.12
azureresourcemanagercosmosdbforpostgresql,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.CosmosDBForPostgreSql,1.1.0-beta.2
azureresourcemanagercostmanagement,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.CostManagement,1.1.0-alpha.20250514.1
azureresourcemanagercustomerinsights,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.CustomerInsights,1.0.0-alpha.20250514.1
azureresourcemanagerdatabasefleetmanager,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.DatabaseFleetManager,1.0.0-beta.1
azureresourcemanagerdatabasewatcher,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.DatabaseWatcher,1.0.0-beta.1
azureresourcemanagerdatabox,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataBox,1.2.0-alpha.20250513.1
azureresourcemanagerdataboxedge,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataBoxEdge,1.2.0-alpha.20250514.1
azureresourcemanagerdatadog,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Datadog,1.0.0-alpha.20250514.1
azureresourcemanagerdatafactory,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataFactory,1.9.0-alpha.20250514.1
azureresourcemanagerdatalakeanalytics,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataLakeAnalytics,1.2.0-alpha.20250514.1
azureresourcemanagerdatalakestore,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataLakeStore,1.2.0-alpha.20250514.1
azureresourcemanagerdatamigration,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataMigration,1.0.0-alpha.20250513.1
azureresourcemanagerdataprotectionbackup,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataProtectionBackup,1.7.0-alpha.20250514.1
azureresourcemanagerdatashare,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DataShare,1.2.0-alpha.20250514.1
azureresourcemanagerdefendereasm,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.DefenderEasm,1.0.0-beta.3
azureresourcemanagerdependencymap,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.DependencyMap,1.0.0-beta.1
azureresourcemanagerdeploymentmanager,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.DeploymentManager,1.0.0-beta.3
azureresourcemanagerdesktopvirtualization,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DesktopVirtualization,1.4.0-alpha.20250514.1
azureresourcemanagerdevcenter,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DevCenter,1.1.0-alpha.20250514.1
azureresourcemanagerdeviceprovisioningservices,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.DeviceProvisioningServices,1.2.0-beta.1
azureresourcemanagerdeviceregistry,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DeviceRegistry,1.1.0-alpha.20250513.1
azureresourcemanagerdeviceupdate,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DeviceUpdate,1.1.0-alpha.20250513.1
azureresourcemanagerdevopsinfrastructure,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.DevOpsInfrastructure,1.0.0-beta.1
azureresourcemanagerdevspaces,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DevSpaces,1.0.0-alpha.20250513.1
azureresourcemanagerdevtestlabs,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DevTestLabs,1.2.0-alpha.20250513.1
azureresourcemanagerdigitaltwins,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DigitalTwins,1.4.0-alpha.20250513.1
azureresourcemanagerdns,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Dns,1.2.0-beta.2
azureresourcemanagerdnsresolver,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.DnsResolver,1.2.0-beta.1
azureresourcemanagerdurabletask,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.DurableTask,1.0.0-alpha.20250514.1
azureresourcemanagerdynatrace,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Dynatrace,1.1.0-beta.1
azureresourcemanageredgeorder,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.EdgeOrder,1.1.0-beta.1
azureresourcemanageredgezones,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.EdgeZones,1.0.0-beta.2
azureresourcemanagerelastic,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Elastic,1.1.0-alpha.20250513.1
azureresourcemanagerelasticsan,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ElasticSan,1.2.0-beta.2
azureresourcemanagerenergyservices,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.EnergyServices,1.0.0-beta.3
azureresourcemanagereventgrid,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.EventGrid,1.2.0-alpha.20250513.1
azureresourcemanagereventhubs,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.EventHubs,1.2.0-alpha.20250514.1
azureresourcemanagerextendedlocation,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ExtendedLocation,1.0.0-beta.2
azureresourcemanagerextendedlocations,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ExtendedLocations,1.1.0-beta.1
azureresourcemanagerfabric,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Fabric,1.0.0-beta.2
azureresourcemanagerfluidrelay,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.FluidRelay,1.2.0-alpha.20250514.1
azureresourcemanagerfrontdoor,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.FrontDoor,1.4.0-alpha.20250514.1
azureresourcemanagergrafana,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Grafana,1.2.0-alpha.20250513.1
azureresourcemanagerguestconfiguration,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.GuestConfiguration,1.1.0-beta.1
azureresourcemanagerhardwaresecuritymodules,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.HardwareSecurityModules,1.0.0-alpha.20250513.1
azureresourcemanagerhci,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Hci,1.3.0-alpha.20250513.1
azureresourcemanagerhdinsight,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.HDInsight,1.2.0-alpha.20250514.1
azureresourcemanagerhdinsightcontainers,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.HDInsight.Containers,1.0.0-beta.5
azureresourcemanagerhealthbot,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.HealthBot,1.2.0-alpha.20250514.1
azureresourcemanagerhealthcareapis,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.HealthcareApis,1.4.0-alpha.20250514.1
azureresourcemanagerhealthdataaiservices,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.HealthDataAIServices,1.0.0-beta.1
azureresourcemanagerhybridcompute,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.HybridCompute,1.1.0-alpha.20250513.1
azureresourcemanagerhybridconnectivity,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.HybridConnectivity,1.2.0-alpha.20250514.1
azureresourcemanagerhybridcontainerservice,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.HybridContainerService,1.1.0-alpha.20250514.1
azureresourcemanagerhybridnetwork,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.HybridNetwork,1.0.0-beta.2
azureresourcemanagerinformaticadatamanagement,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.InformaticaDataManagement,1.0.0-beta.1
azureresourcemanageriotcentral,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.IotCentral,1.1.0-beta.3
azureresourcemanageriotfirmwaredefense,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.IotFirmwareDefense,1.0.0-beta.2
azureresourcemanageriothub,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.IotHub,1.2.0-alpha.20250513.1
azureresourcemanagerkeyvault,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.KeyVault,1.2.0-beta.2
azureresourcemanagerkubernetes,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Kubernetes,1.0.0-alpha.20250513.1
azureresourcemanagerkubernetesconfiguration,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.KubernetesConfiguration,1.3.0-alpha.20250513.1
azureresourcemanagerkusto,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Kusto,1.7.0-alpha.20250514.1
azureresourcemanagerlabservices,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.LabServices,1.1.0-beta.1
azureresourcemanagerlambdatesthyperexecute,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.LambdaTestHyperExecute,1.0.0-alpha.20250514.1
azureresourcemanagerlargeinstance,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.LargeInstance,1.0.0-alpha.20250514.1
azureresourcemanagerloadtesting,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.LoadTesting,1.2.0-alpha.20250513.1
azureresourcemanagerlogic,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Logic,1.2.0-alpha.20250514.1
azureresourcemanagermachinelearning,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.MachineLearning,1.3.0-alpha.20250513.1
azureresourcemanagermachinelearningcompute,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.MachineLearningCompute,1.0.0-alpha.20250513.1
azureresourcemanagermaintenance,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Maintenance,1.2.0-alpha.20250513.1
azureresourcemanagermanagednetwork,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ManagedNetwork,1.0.0-alpha.20250513.1
azureresourcemanagermanagedserviceidentities,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ManagedServiceIdentities,1.3.0-beta.1
azureresourcemanagermanagedservices,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ManagedServices,1.2.0-alpha.20250513.1
azureresourcemanagermanagementpartner,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.ManagementPartner,1.0.0-alpha.20250513.1
azureresourcemanagermaps,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Maps,1.2.0-alpha.20250513.1
azureresourcemanagermarketplaceordering,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.MarketplaceOrdering,1.2.0-alpha.20250513.1
azureresourcemanagermedia,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Media,1.3.0-beta.1
azureresourcemanagermigrate,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Migrate,1.0.0-beta.1
azureresourcemanagermigrationassessment,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Migration.Assessment,1.0.0-beta.1
azureresourcemanagermigrationdiscoverysap,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.MigrationDiscoverySap,1.0.0-alpha.20250514.1
azureresourcemanagermixedreality,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.MixedReality,1.1.0-beta.1
azureresourcemanagermobilenetwork,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.MobileNetwork,1.3.0-alpha.20250514.1
azureresourcemanagermongocluster,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.MongoCluster,1.0.0-alpha.20250514.1
azureresourcemanagermonitor,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Monitor,1.4.0-alpha.20250513.1
azureresourcemanagermysql,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.MySql,1.2.0-alpha.20250513.1
azureresourcemanagerneonpostgres,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.NeonPostgres,1.0.0-alpha.20250513.1
azureresourcemanagernetapp,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.NetApp,1.5.0-beta.1
azureresourcemanagernetwork,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Network,1.11.0-alpha.20250514.1
azureresourcemanagernetworkanalytics,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.NetworkAnalytics,1.1.0-alpha.20250514.1
azureresourcemanagernetworkcloud,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.NetworkCloud,1.2.0-beta.1
azureresourcemanagernetworkfunction,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.NetworkFunction,1.0.0-alpha.20250514.1
azureresourcemanagernewrelicobservability,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.NewRelicObservability,1.2.0-alpha.20250513.1
azureresourcemanagernginx,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Nginx,1.1.0-beta.3
azureresourcemanagernotificationhubs,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.NotificationHubs,1.2.0-alpha.20250513.1
azureresourcemanageroperationalinsights,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.OperationalInsights,1.4.0-alpha.20250513.1
azureresourcemanageroracledatabase,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.OracleDatabase,1.0.0-beta.1
azureresourcemanagerorbital,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Orbital,1.1.0-beta.1
azureresourcemanagerpaloaltonetworksngfw,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.PaloAltoNetworks.Ngfw,1.2.0-alpha.20250513.1
azureresourcemanagerpeering,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Peering,1.3.0-alpha.20250513.1
azureresourcemanagerpineconevectordb,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.PineconeVectorDB,1.0.0-alpha.20250514.1
azureresourcemanagerplaywrighttesting,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.PlaywrightTesting,1.1.0-alpha.20250514.1
azureresourcemanagerpolicyinsights,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.PolicyInsights,1.3.0-alpha.20250514.1
azureresourcemanagerportalservicescopilot,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.PortalServicesCopilot,1.0.0-alpha.20250514.1
azureresourcemanagerpostgresql,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.PostgreSql,1.3.0-alpha.20250513.1
azureresourcemanagerpowerbidedicated,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.PowerBIDedicated,1.0.0-beta.5
azureresourcemanagerprivatedns,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.PrivateDns,1.1.0-beta.1
azureresourcemanagerproviderhub,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.ProviderHub,1.1.0-beta.1
azureresourcemanagerpurview,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Purview,1.2.0-alpha.20250514.1
azureresourcemanagerquantum,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Quantum,1.0.0-beta.6
azureresourcemanagerqumulo,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Qumulo,1.1.0-beta.1
azureresourcemanagerquota,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.Quota,1.1.0-beta.3
azureresourcemanagerrecoveryservices,[tfm=netstandard2.0;isPrerelease=true]Azure.ResourceManager.RecoveryServices,1.2.0-beta.1
azureresourcemanagerrecoveryservicesdatareplication,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.RecoveryServicesDataReplication,1.1.0-alpha.20250514.1
azureresourcemanagerredis,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.Redis,1.6.0-alpha.20250514.1
azureresourcemanagerredisenterprise,[isPrerelease=true;tfm=netstandard2.0;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.ResourceManager.RedisEnterprise,1.2.0-alpha.20250513.1
azureresourcemanagerredisenterprisecache,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.RedisEnterpriseCache,1.0.0-beta.1
azureresourcemanagerrelay,[isPrerelease=true;tfm=netstandard2.0]Azure.ResourceManager.Relay,1.2.0-beta.1
